DATE	TIME	Open	High	Low	Close	TICKVOL	VOL	SPREAD
2019.01.02	09:00:00	87800	87850	87585	87720	9869	33700	5
2019.01.02	09:05:00	87725	87850	87715	87835	6965	24836	5
2019.01.02	09:10:00	87835	87965	87780	87860	11531	38678	5
2019.01.02	09:15:00	87865	87890	87760	87850	6542	21273	5
2019.01.02	09:20:00	87850	87930	87820	87905	5675	19744	5
2019.01.02	09:25:00	87905	88030	87900	88000	8931	30998	5
2019.01.02	09:30:00	87995	88035	87935	87985	7278	26638	5
2019.01.02	09:35:00	87985	88010	87855	87895	8366	30034	5
2019.01.02	09:40:00	87900	87970	87870	87905	6059	19424	5
2019.01.02	09:45:00	87905	87965	87880	87920	6632	29126	5
2019.01.02	09:50:00	87920	88005	87900	87975	5360	19012	5
2019.01.02	09:55:00	87975	87975	87865	87915	6508	23645	5
2019.01.02	10:00:00	87910	88110	87910	88075	16144	55213	5
2019.01.02	10:05:00	88080	88100	87955	88005	10107	32241	5
2019.01.02	10:10:00	88005	88155	88000	88145	12669	41252	5
2019.01.02	10:15:00	88145	88215	88080	88130	13083	44383	5
2019.01.02	10:20:00	88125	88190	88110	88160	8578	34179	5
2019.01.02	10:25:00	88160	88190	88050	88125	7692	25490	5
2019.01.02	10:30:00	88125	88160	88010	88100	10088	34759	5
2019.01.02	10:35:00	88095	88185	88035	88150	8292	28664	5
2019.01.02	10:40:00	88155	88235	88135	88215	11973	43829	5
2019.01.02	10:45:00	88210	88370	88210	88345	15114	53064	5
2019.01.02	10:50:00	88350	88365	88260	88320	10003	35294	5
2019.01.02	10:55:00	88320	88415	88315	88365	11191	38681	5
2019.01.02	11:00:00	88365	88490	88340	88465	13180	48422	5
2019.01.02	11:05:00	88465	88535	88425	88510	12705	48057	5
2019.01.02	11:10:00	88510	88595	88485	88540	10470	41115	5
2019.01.02	11:15:00	88535	88785	88535	88770	17325	68349	5
2019.01.02	11:20:00	88765	88775	88635	88650	12550	48386	5
2019.01.02	11:25:00	88650	88650	88525	88640	13171	52134	5
2019.01.02	11:30:00	88640	88680	88535	88580	11345	47093	5
